"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CPI","TOT","AGRWTH","A","2000",3.376857,
"USA","CPI","TOT","AGRWTH","A","2001",2.826171,
"USA","CPI","TOT","AGRWTH","A","2002",1.586032,
"USA","CPI","TOT","AGRWTH","A","2003",2.270095,
"USA","CPI","TOT","AGRWTH","A","2004",2.677237,
"USA","CPI","TOT","AGRWTH","A","2005",3.392747,
"USA","CPI","TOT","AGRWTH","A","2006",3.225944,
"USA","CPI","TOT","AGRWTH","A","2007",2.852673,
"USA","CPI","TOT","AGRWTH","A","2008",3.8391,
"USA","CPI","TOT","AGRWTH","A","2009",-0.3555463,
"USA","CPI","TOT","AGRWTH","A","2010",1.640043,
"USA","CPI","TOT","AGRWTH","A","2011",3.156842,
"USA","CPI","TOT","AGRWTH","A","2012",2.069337,
"USA","CPI","TOT","AGRWTH","A","2013",1.464833,
"USA","CPI","TOT","AGRWTH","A","2014",1.622223,
"USA","CPI","TOT","AGRWTH","A","2015",0.1186271,
"USA","CPI","TOT","AGRWTH","A","2016",1.261583,
"USA","CPI","TOT","AGRWTH","A","2017",2.13011,
"USA","CPI","TOT","AGRWTH","A","2018",2.442583,
"USA","CPI","TOT","AGRWTH","A","2019",1.81221,
"USA","CPI","TOT","AGRWTH","A","2020",1.233584,
"USA","CPI","TOT","AGRWTH","A","2021",4.697859,
"USA","CPI","TOT","AGRWTH","A","2022",8.0028,
"OECD","CPI","TOT","AGRWTH","A","2000",4.067432,
"OECD","CPI","TOT","AGRWTH","A","2001",3.675175,
"OECD","CPI","TOT","AGRWTH","A","2002",2.78371,
"OECD","CPI","TOT","AGRWTH","A","2003",2.484033,
"OECD","CPI","TOT","AGRWTH","A","2004",2.416745,
"OECD","CPI","TOT","AGRWTH","A","2005",2.648712,
"OECD","CPI","TOT","AGRWTH","A","2006",2.67406,
"OECD","CPI","TOT","AGRWTH","A","2007",2.553008,
"OECD","CPI","TOT","AGRWTH","A","2008",3.742225,
"OECD","CPI","TOT","AGRWTH","A","2009",0.5727106,
"OECD","CPI","TOT","AGRWTH","A","2010",1.81132,
"OECD","CPI","TOT","AGRWTH","A","2011",2.850602,
"OECD","CPI","TOT","AGRWTH","A","2012",2.250731,
"OECD","CPI","TOT","AGRWTH","A","2013",1.61453,
"OECD","CPI","TOT","AGRWTH","A","2014",1.751309,
"OECD","CPI","TOT","AGRWTH","A","2015",0.6928846,
"OECD","CPI","TOT","AGRWTH","A","2016",1.20468,
"OECD","CPI","TOT","AGRWTH","A","2017",2.295742,
"OECD","CPI","TOT","AGRWTH","A","2018",2.615706,
"OECD","CPI","TOT","AGRWTH","A","2019",2.074133,
"OECD","CPI","TOT","AGRWTH","A","2020",1.352265,
"OECD","CPI","TOT","AGRWTH","A","2021",3.984197,
"OECD","CPI","TOT","AGRWTH","A","2022",9.549428,
