Name,Date,Max Wind Speed
Claudette,7/15/2015,45
Ana,5/10/2025,50
Arthur,7/4/2014,85
Andrea,6/6/2013,55
Beryl,5/28/2012,60
Irene,8/28/2011,105
Cristobal,7/23/2008,55
Hanna,9/6/2008,75
Barry,6/2/2007,50
Gabrielle,9/9/2007,50
Alberto,6/13/2006,60
ernesto,9/1/2006,65
Ophelia,9/6/2005,75
Alex,8/6/2004,105
Bonnie,8/12/2004,55
Charley,8/14/2004,130
Isabel,9/18/2003,145
Arthur,7/19/2002,50
Gustav,9/12/2002,75
Kyle,10/11/2002,75
Allison,6/11/2001,50
Helene,9/22/2000,60
Irene,10/15/1999,95
Floyd,9/16/1999,135
Dennis,9/4/1999,90
Bonnie,8/27/1998,100
Earl,9/3/1998,85
Danny,7/19/1997,70
Bertha,7/12/1996,100
Arthur,6/20/1996,45
Fran,9/6/1996,105
Josephine,10/8/1996,60
Allison,6/5/1995,65
Gordon,11/21/1994,75
Emily,9/6/1996,100
Danielle,9/25/1992,55
bob,8/20/1991,100
Bertha,8/2/1990,70
Charley,8/17/1996,70
Kate,11/21/1985,105
Gloria,9/27/1985,125
Isabel,10/10/1985,60
Diana,9/13/1984,115
